GSM,title,geo_accession,source_name_ch1,tissue,biological_state,Sex,status,submission_date,last_update_date,type,channel_count,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,data_processing.5,data_processing.6,data_processing.7,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,biological_state:ch1,Sex:ch1,tissue:ch1
GSM1501227,23_SusScrofa,GSM1501227,subcuteneous adipose tissue,subcuteneous adipose,Mean,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Mean,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698221,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031533,NONE,Mean,m,subcuteneous adipose
GSM1501228,24_SusScrofa,GSM1501228,subcuteneous adipose tissue,subcuteneous adipose,Mean,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Mean,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698222,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031534,NONE,Mean,m,subcuteneous adipose
GSM1501229,25_SusScrofa,GSM1501229,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698223,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031535,NONE,High,f,subcuteneous adipose
GSM1501230,26_SusScrofa,GSM1501230,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698224,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031536,NONE,High,f,subcuteneous adipose
GSM1501231,27_SusScrofa,GSM1501231,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698225,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031537,NONE,High,f,subcuteneous adipose
GSM1501232,28_SusScrofa,GSM1501232,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698226,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031538,NONE,High,m,subcuteneous adipose
GSM1501233,29_SusScrofa,GSM1501233,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698227,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031539,NONE,High,m,subcuteneous adipose
GSM1501234,30_SusScrofa,GSM1501234,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698228,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031540,NONE,High,m,subcuteneous adipose
GSM1501235,31_SusScrofa,GSM1501235,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698229,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031541,NONE,High,f,subcuteneous adipose
GSM1501236,32_SusScrofa,GSM1501236,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698230,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031542,NONE,High,m,subcuteneous adipose
GSM1501237,33_SusScrofa,GSM1501237,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698231,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031543,NONE,High,f,subcuteneous adipose
GSM1501238,34_SusScrofa,GSM1501238,subcuteneous adipose tissue,subcuteneous adipose,High,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698232,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031544,NONE,High,f,subcuteneous adipose
GSM1501239,35_SusScrofa,GSM1501239,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698233,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031545,NONE,High,m,subcuteneous adipose
GSM1501240,36_SusScrofa,GSM1501240,subcuteneous adipose tissue,subcuteneous adipose,High,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: High,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698234,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031546,NONE,High,m,subcuteneous adipose
